network,Inf-mod,Inf-groups,Lou-mod,Lou-groups,Lei-mod,Lei-groups,Agg-mod,Agg-groups
synthetic_network_N_300_blocks_5_prr_0.00_prs_0.02.net,0.42293446594614187,34,0.4533617996014973,11,-0.01637502264219297,12,-0.003920873082961007,288
synthetic_network_N_300_blocks_5_prr_0.02_prs_0.02.net,0.0,25,0.3901644569021595,11,0.0,10,-0.003776360494666952,297
synthetic_network_N_300_blocks_5_prr_0.04_prs_0.02.net,0.0,19,0.34477776753040995,11,0.0,11,-0.003728989693709837,299
synthetic_network_N_300_blocks_5_prr_0.06_prs_0.02.net,0.0,1,0.31117118587081205,11,-0.01147508257189194,10,-0.003663200624975272,300
synthetic_network_N_300_blocks_5_prr_0.08_prs_0.02.net,0.0,1,0.308135362337151,9,-0.011769966861419743,9,-0.003611901010781326,300
synthetic_network_N_300_blocks_5_prr_0.10_prs_0.02.net,0.0,1,0.320817071372208,6,-0.013473418060241361,6,-0.003594229164037638,300
synthetic_network_N_300_blocks_5_prr_0.12_prs_0.02.net,0.37616144165959914,7,0.37765199370372116,5,0.027162623211637475,5,-0.0035683425264295683,300
synthetic_network_N_300_blocks_5_prr_0.14_prs_0.02.net,0.43068268767534784,5,0.43067054236890145,5,0.026317487419486724,5,-0.00353732050249181,300
synthetic_network_N_300_blocks_5_prr_0.16_prs_0.02.net,0.4587687404783566,5,0.4587687404783566,5,0.02910826276774997,5,-0.0035212988732834056,300
synthetic_network_N_300_blocks_5_prr_0.18_prs_0.02.net,0.48298779354934596,5,0.48298779354934596,5,0.03346090963139121,5,-0.0035169255350772878,300
synthetic_network_N_300_blocks_5_prr_0.20_prs_0.02.net,0.50381806216686,5,0.50381806216686,5,0.059546624495724586,5,-0.003491455968874368,300
synthetic_network_N_300_blocks_5_prr_0.22_prs_0.02.net,0.525871860404464,5,0.525871860404464,5,0.06156706043160107,5,-0.003475471853397769,300
synthetic_network_N_300_blocks_5_prr_0.24_prs_0.02.net,0.5417036226949192,5,0.5417036226949192,5,0.06728476652761653,5,-0.0034688253267151606,300
synthetic_network_N_300_blocks_5_prr_0.26_prs_0.02.net,0.5575677274420257,5,0.5575677274420257,5,0.07495205059836677,5,-0.0034579481137001255,300
synthetic_network_N_300_blocks_5_prr_0.28_prs_0.02.net,0.5713494530159705,5,0.5713494530159705,5,0.06993684831744663,5,-0.003449470188584323,300
synthetic_network_N_300_blocks_5_prr_0.30_prs_0.02.net,0.583699314155445,5,0.583699314155445,5,0.07062813154553446,5,-0.003445581878130574,300
synthetic_network_N_300_blocks_5_prr_0.32_prs_0.02.net,0.5936062502029501,5,0.5936062502029501,5,0.07229664078467544,5,-0.0034423500162833035,300
synthetic_network_N_300_blocks_5_prr_0.34_prs_0.02.net,0.6046403381326081,5,0.6046403381326081,5,0.0752133939068145,5,-0.003432174151675756,300
synthetic_network_N_300_blocks_5_prr_0.36_prs_0.02.net,0.6131109241825149,5,0.6131109241825149,5,0.07037911164427026,5,-0.003424323787596731,300
synthetic_network_N_300_blocks_5_prr_0.38_prs_0.02.net,0.620861378297332,5,0.620861378297332,5,0.08414951306215776,5,-0.0034182153924412636,300
synthetic_network_N_300_blocks_5_prr_0.40_prs_0.02.net,0.6284152801696873,5,0.6284152801696873,5,0.08967037521810259,5,-0.0034088021445638312,300
synthetic_network_N_300_blocks_5_prr_0.42_prs_0.02.net,0.6354440339299298,5,0.6354440339299298,5,0.09270163678609011,5,-0.003401413533340443,300
synthetic_network_N_300_blocks_5_prr_0.44_prs_0.02.net,0.6419842923059791,5,0.6419842923059791,5,0.101490068848122,5,-0.003397487779561116,300
synthetic_network_N_300_blocks_5_prr_0.46_prs_0.02.net,0.6476974235147226,5,0.6476974235147226,5,0.11146996445753815,5,-0.0033924243349859884,300
synthetic_network_N_300_blocks_5_prr_0.48_prs_0.02.net,0.6536741763817727,5,0.6536741763817727,5,0.11477808965124628,5,-0.0033875795153585258,300
synthetic_network_N_300_blocks_5_prr_0.50_prs_0.02.net,0.6585779975072513,5,0.6585779975072513,5,0.116315386971491,5,-0.0033828098313400884,300
synthetic_network_N_300_blocks_5_prr_0.52_prs_0.02.net,0.6632825263851169,5,0.6632825263851169,5,0.11619419070002285,5,-0.0033815481432150243,300
synthetic_network_N_300_blocks_5_prr_0.54_prs_0.02.net,0.6679000557643688,5,0.6679000557643688,5,0.12228510221122055,5,-0.003377866284041413,300
synthetic_network_N_300_blocks_5_prr_0.56_prs_0.02.net,0.6716514684965385,5,0.6716514684965385,5,0.12282451443521589,5,-0.003376826293138886,300
synthetic_network_N_300_blocks_5_prr_0.58_prs_0.02.net,0.675299766540974,5,0.675299766540974,5,0.12346503248798008,5,-0.0033762472257839586,300
synthetic_network_N_300_blocks_5_prr_0.60_prs_0.02.net,0.6789746468237186,5,0.6789746468237186,5,0.12479483781298364,5,-0.0033716555479974012,300
synthetic_network_N_300_blocks_5_prr_0.62_prs_0.02.net,0.6821568647278962,5,0.6821568647278962,5,0.12420628940128275,5,-0.0033706328977733515,300
synthetic_network_N_300_blocks_5_prr_0.64_prs_0.02.net,0.6855902784960461,5,0.6855902784960461,5,0.12646344999028722,5,-0.003367726263505839,300
synthetic_network_N_300_blocks_5_prr_0.66_prs_0.02.net,0.6885694427932835,5,0.6885694427932835,5,0.12533124993498374,5,-0.0033641391936000036,300
synthetic_network_N_300_blocks_5_prr_0.68_prs_0.02.net,0.6915033072939444,5,0.6915033072939444,5,0.12904006205053162,5,-0.0033617926111696047,300
synthetic_network_N_300_blocks_5_prr_0.70_prs_0.02.net,0.6940190245755324,5,0.6940190245755324,5,0.13005722928635052,5,-0.003359139189498786,300
synthetic_network_N_300_blocks_5_prr_0.72_prs_0.02.net,0.6967120050943905,5,0.6967120050943905,5,0.14236216238748553,5,-0.0033573255271136452,300
synthetic_network_N_300_blocks_5_prr_0.74_prs_0.02.net,0.6992097410727585,5,0.6992097410727585,5,0.1471241091291384,5,-0.0033555700344247365,300
synthetic_network_N_300_blocks_5_prr_0.76_prs_0.02.net,0.701640715428239,5,0.701640715428239,5,0.14887585597476535,5,-0.0033530363195042588,300
synthetic_network_N_300_blocks_5_prr_0.78_prs_0.02.net,0.7038379684503779,5,0.7038379684503779,5,0.14740160686719073,5,-0.003351185987413172,300
synthetic_network_N_300_blocks_5_prr_0.80_prs_0.02.net,0.7059326663580259,5,0.7059326663580259,5,0.14726077162665593,5,-0.003350554182226638,300
synthetic_network_N_300_blocks_5_prr_0.82_prs_0.02.net,0.708120732190066,5,0.708120732190066,5,0.14844181691386815,5,-0.003348787750737517,300
synthetic_network_N_300_blocks_5_prr_0.84_prs_0.02.net,0.710136446422488,5,0.710136446422488,5,0.1495775784643615,5,-0.0033472306472250423,300
synthetic_network_N_300_blocks_5_prr_0.86_prs_0.02.net,0.7118254150253774,5,0.7118254150253774,5,0.14951128592300278,5,-0.0033462210776232914,300
synthetic_network_N_300_blocks_5_prr_0.88_prs_0.02.net,0.713639477957258,5,0.713639477957258,5,0.1483230966057649,5,-0.0033443980788731664,300
synthetic_network_N_300_blocks_5_prr_0.90_prs_0.02.net,0.7154589052488309,5,0.7154589052488309,5,0.15054295115836963,5,-0.003342511757962069,300
synthetic_network_N_300_blocks_5_prr_0.92_prs_0.02.net,0.7172030309386264,5,0.7172030309386264,5,0.15086383359601999,5,-0.0033415152135368885,300
synthetic_network_N_300_blocks_5_prr_0.94_prs_0.02.net,0.7186900097403868,5,0.7186900097403868,5,0.1507692519480774,5,-0.003340242971258522,300
synthetic_network_N_300_blocks_5_prr_0.96_prs_0.02.net,0.7202075020518273,5,0.7202075020518273,5,0.15214597424228515,5,-0.0033392039570052374,300
synthetic_network_N_300_blocks_5_prr_0.98_prs_0.02.net,0.721772648877696,5,0.721772648877696,5,0.15951098544510758,5,-0.003338093834844718,300
synthetic_network_N_300_blocks_5_prr_1.00_prs_0.02.net,0.7239913469306816,5,0.7239913469306816,5,0.17669608730873432,5,-0.0033364769205338953,300
